         z         Ez 
-3.415e-02 -4.540e-01 
-3.351e-02 -4.201e-01 
-3.288e-02 -3.856e-01 
-3.225e-02 -3.506e-01 
-3.162e-02 -3.150e-01 
-3.098e-02 -2.790e-01 
-3.035e-02 -2.427e-01 
-2.972e-02 -2.059e-01 
-2.909e-02 -1.689e-01 
-2.846e-02 -1.316e-01 
-2.782e-02 -9.414e-02 
-2.719e-02 -5.654e-02 
-2.656e-02 -1.885e-02 
-2.593e-02  1.885e-02 
-2.529e-02  5.654e-02 
-2.466e-02  9.414e-02 
-2.403e-02  1.316e-01 
-2.340e-02  1.689e-01 
-2.276e-02  2.059e-01 
-2.213e-02  2.427e-01 
-2.150e-02  2.790e-01 
-2.087e-02  3.150e-01 
-2.024e-02  3.506e-01 
-1.960e-02  3.856e-01 
-1.897e-02  4.201e-01 
-1.834e-02  4.540e-01 
-1.771e-02  4.872e-01 
-1.707e-02  5.198e-01 
-1.644e-02  5.516e-01 
-1.581e-02  5.826e-01 
-1.518e-02  6.127e-01 
-1.454e-02  6.420e-01 
-1.391e-02  6.704e-01 
-1.328e-02  6.978e-01 
-1.265e-02  7.242e-01 
-1.201e-02  7.496e-01 
-1.138e-02  7.739e-01 
-1.075e-02  7.971e-01 
-1.012e-02  8.192e-01 
-9.485e-03  8.400e-01 
-8.853e-03  8.597e-01 
-8.220e-03  8.782e-01 
-7.588e-03  8.954e-01 
-6.956e-03  9.114e-01 
-6.323e-03  9.261e-01 
-5.691e-03  9.395e-01 
-5.059e-03  9.515e-01 
-4.426e-03  9.623e-01 
-3.794e-03  9.717e-01 
-3.162e-03  9.798e-01 
-2.529e-03  9.865e-01 
-1.897e-03  9.919e-01 
-1.265e-03  9.960e-01 
-6.323e-04  9.987e-01 
 0.000e+00  1.000e+00 
 6.323e-04  9.987e-01 
 1.265e-03  9.960e-01 
 1.897e-03  9.919e-01 
 2.529e-03  9.865e-01 
 3.162e-03  9.798e-01 
 3.794e-03  9.717e-01 
 4.426e-03  9.623e-01 
 5.059e-03  9.515e-01 
 5.691e-03  9.395e-01 
 6.323e-03  9.261e-01 
 6.956e-03  9.114e-01 
 7.588e-03  8.954e-01 
 8.220e-03  8.782e-01 
 8.853e-03  8.597e-01 
 9.485e-03  8.400e-01 
 1.012e-02  8.192e-01 
 1.075e-02  7.971e-01 
 1.138e-02  7.739e-01 
 1.201e-02  7.496e-01 
 1.265e-02  7.242e-01 
 1.328e-02  6.978e-01 
 1.391e-02  6.704e-01 
 1.454e-02  6.420e-01 
 1.518e-02  6.127e-01 
 1.581e-02  5.826e-01 
 1.644e-02  5.516e-01 
 1.707e-02  5.198e-01 
 1.771e-02  4.872e-01 
 1.834e-02  4.540e-01 
 1.897e-02  4.201e-01 
 1.960e-02  3.856e-01 
 2.024e-02  3.506e-01 
 2.087e-02  3.150e-01 
 2.150e-02  2.790e-01 
 2.213e-02  2.427e-01 
 2.276e-02  2.059e-01 
 2.340e-02  1.689e-01 
 2.403e-02  1.316e-01 
 2.466e-02  9.414e-02 
 2.529e-02  5.654e-02 
 2.593e-02  1.885e-02 
 2.656e-02 -1.885e-02 
 2.719e-02 -5.654e-02 
 2.782e-02 -9.414e-02 
 2.846e-02 -1.316e-01 
 2.909e-02 -1.689e-01 
 2.972e-02 -2.059e-01 
 3.035e-02 -2.427e-01 
 3.098e-02 -2.790e-01 
 3.162e-02 -3.150e-01 
 3.225e-02 -3.506e-01 
 3.288e-02 -3.856e-01 
 3.351e-02 -4.201e-01 
 3.415e-02 -4.540e-01 
 3.478e-02 -4.872e-01 
 3.541e-02 -5.198e-01 
 3.604e-02 -5.516e-01 
 3.668e-02 -5.826e-01 
 3.731e-02 -6.127e-01 
 3.794e-02 -6.420e-01 
 3.857e-02 -6.704e-01 
 3.921e-02 -6.978e-01 
 3.984e-02 -7.242e-01 
 4.047e-02 -7.496e-01 
 4.110e-02 -7.739e-01 
 4.173e-02 -7.971e-01 
 4.237e-02 -8.191e-01 
 4.300e-02 -8.400e-01 
 4.363e-02 -8.597e-01 
 4.426e-02 -8.781e-01 
 4.490e-02 -8.953e-01 
 4.553e-02 -9.112e-01 
 4.616e-02 -9.258e-01 
 4.679e-02 -9.391e-01 
 4.743e-02 -9.510e-01 
 4.806e-02 -9.615e-01 
 4.869e-02 -9.707e-01 
 4.932e-02 -9.785e-01 
 4.996e-02 -9.849e-01 
 5.059e-02 -9.899e-01 
 5.122e-02 -9.935e-01 
 5.185e-02 -9.956e-01 
 5.248e-02 -9.963e-01 
 5.312e-02 -9.956e-01 
 5.375e-02 -9.935e-01 
 5.438e-02 -9.899e-01 
 5.501e-02 -9.849e-01 
 5.565e-02 -9.785e-01 
 5.628e-02 -9.707e-01 
 5.691e-02 -9.615e-01 
 5.754e-02 -9.510e-01 
 5.818e-02 -9.391e-01 
 5.881e-02 -9.258e-01 
 5.944e-02 -9.112e-01 
 6.007e-02 -8.953e-01 
 6.071e-02 -8.781e-01 
 6.134e-02 -8.597e-01 
 6.197e-02 -8.400e-01 
 6.260e-02 -8.191e-01 
 6.323e-02 -7.971e-01 
 6.387e-02 -7.739e-01 
 6.450e-02 -7.496e-01 
 6.513e-02 -7.242e-01 
 6.576e-02 -6.978e-01 
 6.640e-02 -6.704e-01 
 6.703e-02 -6.420e-01 
 6.766e-02 -6.127e-01 
 6.829e-02 -5.826e-01 
 6.893e-02 -5.516e-01 
 6.956e-02 -5.198e-01 
 7.019e-02 -4.872e-01 
 7.082e-02 -4.540e-01 
 7.146e-02 -4.201e-01 
 7.209e-02 -3.856e-01 
 7.272e-02 -3.506e-01 
 7.335e-02 -3.150e-01 
 7.398e-02 -2.790e-01 
 7.462e-02 -2.427e-01 
 7.525e-02 -2.059e-01 
 7.588e-02 -1.689e-01 
 7.651e-02 -1.316e-01 
 7.715e-02 -9.414e-02 
 7.778e-02 -5.654e-02 
 7.841e-02 -1.885e-02 
 7.904e-02  1.885e-02 
 7.968e-02  5.654e-02 
 8.031e-02  9.414e-02 
 8.094e-02  1.316e-01 
 8.157e-02  1.689e-01 
 8.220e-02  2.059e-01 
 8.284e-02  2.427e-01 
 8.347e-02  2.790e-01 
 8.410e-02  3.150e-01 
 8.473e-02  3.506e-01 
 8.537e-02  3.856e-01 
 8.600e-02  4.201e-01 
 8.663e-02  4.540e-01 
 8.726e-02  4.872e-01 
 8.790e-02  5.198e-01 
 8.853e-02  5.516e-01 
 8.916e-02  5.826e-01 
 8.979e-02  6.127e-01 
 9.043e-02  6.420e-01 
 9.106e-02  6.704e-01 
 9.169e-02  6.978e-01 
 9.232e-02  7.242e-01 
 9.295e-02  7.496e-01 
 9.359e-02  7.739e-01 
 9.422e-02  7.971e-01 
 9.485e-02  8.191e-01 
 9.548e-02  8.400e-01 
 9.612e-02  8.597e-01 
 9.675e-02  8.781e-01 
 9.738e-02  8.953e-01 
 9.801e-02  9.112e-01 
 9.865e-02  9.258e-01 
 9.928e-02  9.391e-01 
 9.991e-02  9.510e-01 
 1.005e-01  9.615e-01 
 1.012e-01  9.707e-01 
 1.018e-01  9.785e-01 
 1.024e-01  9.849e-01 
 1.031e-01  9.899e-01 
 1.037e-01  9.935e-01 
 1.043e-01  9.956e-01 
 1.050e-01  9.963e-01 
 1.056e-01  9.956e-01 
 1.062e-01  9.935e-01 
 1.069e-01  9.899e-01 
 1.075e-01  9.849e-01 
 1.081e-01  9.785e-01 
 1.088e-01  9.707e-01 
 1.094e-01  9.615e-01 
 1.100e-01  9.510e-01 
 1.107e-01  9.391e-01 
 1.113e-01  9.258e-01 
 1.119e-01  9.112e-01 
 1.126e-01  8.953e-01 
 1.132e-01  8.781e-01 
 1.138e-01  8.597e-01 
 1.145e-01  8.400e-01 
 1.151e-01  8.191e-01 
 1.157e-01  7.971e-01 
 1.164e-01  7.739e-01 
 1.170e-01  7.496e-01 
 1.176e-01  7.243e-01 
 1.182e-01  6.979e-01 
 1.189e-01  6.706e-01 
 1.195e-01  6.424e-01 
 1.201e-01  6.133e-01 
 1.208e-01  5.834e-01 
 1.214e-01  5.528e-01 
 1.220e-01  5.217e-01 
 1.227e-01  4.900e-01 
 1.233e-01  4.580e-01 
 1.239e-01  4.258e-01 
 1.246e-01  3.936e-01 
 1.252e-01  3.615e-01 
 1.258e-01  3.298e-01 
 1.265e-01  2.987e-01 
 1.271e-01  2.684e-01 
 1.277e-01  2.392e-01 
 1.284e-01  2.113e-01 
 1.290e-01  1.848e-01 
 1.296e-01  1.601e-01 
 1.303e-01  1.372e-01 
 1.309e-01  1.163e-01 
 1.315e-01  9.746e-02 
 1.322e-01  8.068e-02 
 1.328e-01  6.596e-02 
 1.334e-01  5.322e-02 
 1.341e-01  4.237e-02 
 1.347e-01  3.327e-02 
 1.353e-01  2.575e-02 
 1.360e-01  1.964e-02 
 1.366e-01  1.475e-02 
 1.372e-01  1.092e-02 
 1.379e-01  7.950e-03 
 1.385e-01  5.697e-03 
 1.391e-01  4.016e-03 
 1.397e-01  2.784e-03 
 1.404e-01  1.897e-03 
 1.410e-01  1.270e-03 
 1.416e-01  8.344e-04 
 1.423e-01  5.379e-04 
 1.429e-01  3.397e-04 
 1.435e-01  2.098e-04 
 1.442e-01  1.263e-04 
 1.448e-01  7.386e-05 
 1.454e-01  4.161e-05 
 1.461e-01  2.231e-05 
 1.467e-01  1.113e-05 
 1.473e-01  4.950e-06 
 1.480e-01  1.774e-06 
 1.486e-01  3.734e-07 
 1.492e-01  0.000e+00 
 1.499e-01  0.000e+00 
 1.505e-01  0.000e+00 
 1.511e-01  0.000e+00 
 1.518e-01  0.000e+00 
 1.524e-01  0.000e+00 
 1.530e-01  0.000e+00 
 1.537e-01  0.000e+00 
 1.543e-01  0.000e+00 
 1.549e-01  0.000e+00 
 1.556e-01  0.000e+00 
 1.562e-01  0.000e+00 
 1.568e-01  0.000e+00 
 1.575e-01  0.000e+00 
                    
